Région / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (€ / MWh),Number of winners per couple region/technology
Provence-Alpes-Côte d'Azur,Solaire,131643,131643,"0,72",-,-,10
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,72933,72933,"1,17",-,-,2
Bourgogne-Franche-ComtÃ©,Eolien onshore,126150,126150,"1,24",-,-,1
Bretagne,Eolien onshore,118025,118025,"1,24",-,-,2
Centre-Val de Loire,Eolien onshore,193960,193960,"1,23",-,-,3
Grand Est,Eolien onshore,473744,473744,"1,16",-,-,6
Haut-de-France,Eolien onshore,641887,641887,"1,16",-,-,7
ÃŽle-de-France,Eolien onshore,17203,17203,"1,18",-,-,2
Normandie,Eolien onshore,128552,128552,"1,11",-,-,2
Nouvelle-Aquitaine,Eolien onshore,155109,155109,"1,12",-,-,1
Occitanie,Eolien onshore,287665,287665,"1,1",-,-,3
Pays de la Loire,Eolien onshore,145877,145877,"1,11",-,-,7
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,11906,11906,"1,17",-,-,2
Auvergne-RhÃ´ne-Alpes,Hydraulique,96657,96657,"1,25",-,-,6
Bourgogne-Franche-ComtÃ©,Hydraulique,13948,13948,"1,2",-,-,2
Bretagne,Hydraulique,3361,3361,"1,15",-,-,1
Centre-Val de Loire,Hydraulique,1710,1710,"1,28",-,-,1
Grand Est,Hydraulique,21131,21131,"1,17",-,-,2
Haut-de-France,Hydraulique,1152,1152,"1,28",-,-,1
ÃŽle-de-France,Hydraulique,482,482,"1,23",-,-,2
Normandie,Hydraulique,5413,5413,"1,15",-,-,1
Nouvelle-Aquitaine,Hydraulique,56099,56099,"1,16",-,-,2
Occitanie,Hydraulique,81998,81998,"1,17",-,-,3
Pays de la Loire,Hydraulique,641,641,"1,28",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,29770,29770,"1,17",-,-,2
Auvergne-RhÃ´ne-Alpes,Solaire,30914,30914,"1,1",-,-,4
Bourgogne-Franche-ComtÃ©,Solaire,7284,7284,"1,22",-,-,1
