RÃ©gion / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (â‚¬ / MWh),Number of winners per couple region/technology
ÃŽle-de-France,Solaire,11771,11771,"7,9",-,-,31/12/1899
Normandie,Solaire,14461,14461,"7,9",-,-,31/12/1899
Nouvelle-Aquitaine,Solaire,352389,352389,"7,94",-,-,5/1/1900
Occitanie,Solaire,279407,279407,"7,8",-,-,3/1/1900
Pays de la Loire,Solaire,41153,41153,"7,9",-,-,1/1/1900
Provence-Alpes-CÃ´te d'Azur,Solaire,212681,212681,"7,87",-,-,5/1/1900
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,60604,60604,"7,59",-,-,8/1/1900
Bourgogne-Franche-ComtÃ©,Eolien onshore,106299,106299,"6,42",-,-,4/1/1900
Bretagne,Eolien onshore,84977,84977,"6,03",-,-,7/1/1900
Centre-Val de Loire,Eolien onshore,129323,129323,"5,89",-,-,2/1/1900
Grand Est,Eolien onshore,309331,309331,"5,97",-,-,2/1/1900
Haut-de-France,Eolien onshore,483533,483533,"5,79",-,-,12/1/1900
ÃŽle-de-France,Eolien onshore,14209,14209,"6,15",-,-,2/1/1900
Normandie,Eolien onshore,81458,81458,"5,55",-,-,3/1/1900
Nouvelle-Aquitaine,Eolien onshore,139926,139926,"5,6",-,-,5/1/1900
Occitanie,Eolien onshore,154184,154184,"5,61",-,-,4/1/1900
Pays de la Loire,Eolien onshore,111964,111964,"5,68",-,-,5/1/1900
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,12306,12306,"5,5",-,-,31/12/1899
Auvergne-RhÃ´ne-Alpes,Hydraulique,38296,38296,"6,2",-,-,5/1/1900
Bourgogne-Franche-ComtÃ©,Hydraulique,7533,7533,"5,95",-,-,31/12/1899
Bretagne,Hydraulique,490,490,"5,95",-,-,31/12/1899
Centre-Val de Loire,Hydraulique,448,448,"5,79",-,-,2
Grand Est,Hydraulique,9162,9162,"5,85",-,-,2
Haut-de-France,Hydraulique,87,87,"5,95",-,-,1
ÃŽle-de-France,Hydraulique,208,208,"5,95",-,-,1
Normandie,Hydraulique,346,346,"5,61",-,-,1
Nouvelle-Aquitaine,Hydraulique,11083,11083,"5,89",-,-,4
Occitanie,Hydraulique,25718,25718,"5,54",-,-,6
Pays de la Loire,Hydraulique,89,89,"5,99",-,-,2
Provence-Alpes-CÃ´te d'Azur,Hydraulique,11075,11075,"5,33",-,-,2
Auvergne-RhÃ´ne-Alpes,Solaire,86259,86259,"6,91",-,-,5
Bourgogne-Franche-ComtÃ©,Solaire,27558,27558,"6,85",-,-,1
Bretagne,Solaire,7824,7824,"6,95",-,-,4
Centre-Val de Loire,Solaire,40672,40672,"6,5",-,-,2
Grand Est,Solaire,58716,58716,"6,01",-,-,3
Haut-de-France,Solaire,22076,22076,"7,03",-,-,3
ÃŽle-de-France,Solaire,7641,7641,"6,4",-,-,4
Normandie,Solaire,8623,8622,"5,8",-,-,5
Nouvelle-Aquitaine,Solaire,281750,281750,"5,8",-,-,10
Occitanie,Solaire,211322,211322,"5,63",-,-,7
Pays de la Loire,Solaire,29975,29975,"5,81",-,-,6
Provence-Alpes-CÃ´te d'Azur,Solaire,164635,164635,"5,49",-,-,7
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,84725,84725,"7,89",-,-,4
Bourgogne-Franche-ComtÃ©,Eolien onshore,177300,177300,"7,57",-,-,2
Bretagne,Eolien onshore,116809,116809,"7,75",-,-,1
Centre-Val de Loire,Eolien onshore,189039,189039,"7,75",-,-,2
Grand Est,Eolien onshore,504691,504691,"7,71",-,-,7
Haut-de-France,Eolien onshore,753359,753359,"7,45",-,-,12
ÃŽle-de-France,Eolien onshore,21348,21348,"7,67",-,-,3
Normandie,Eolien onshore,130159,130159,"7,27",-,-,3
Nouvelle-Aquitaine,Eolien onshore,203083,203083,"7,34",-,-,8
Occitanie,Eolien onshore,118162,118162,"7,3",-,-,4
Pays de la Loire,Eolien onshore,148959,148959,"7,35",-,-,8
